Animal,open_dt
dog,2016-03-13 04:55:00
dog,2016-03-13 08:50:00
dog,2016-03-13 09:26:00
dog,2016-03-13 16:23:00
squirrel,2016-03-14 03:48:00
dog,2016-03-17 14:22:00
dog,2016-03-17 18:49:00
dog,2016-03-18 14:19:00
coyote,2016-03-19 06:29:00
opossum,2016-03-19 12:21:00
dog,2016-03-20 11:18:00
dog,2016-03-20 14:45:00
dog,2016-03-22 18:11:00
bat,2016-03-26 10:16:00
bird,2016-03-26 10:47:00
fly,2016-03-26 11:19:00
dog,2016-03-29 12:07:00
dog,2016-03-31 04:20:00
dog,2016-03-31 14:06:00
raccoon,2016-04-03 02:29:00
dog,2016-04-05 05:35:00
dog,2016-04-05 09:58:00
cat,2016-04-06 12:52:00
turkey,2016-04-09 06:19:00
raccoon,2016-04-09 08:29:00
dog,2016-04-09 09:03:00
dog,2016-04-09 16:27:00
squirrel,2016-04-10 08:16:00
dog,2016-04-15 11:43:00
dog,2016-04-18 04:48:00
bird,2016-04-18 16:38:00
dog,2016-04-20 12:35:00
cat,2016-04-20 13:47:00
squirrel,2016-04-22 13:50:00
squirrel,2016-04-25 16:28:00
dog,2016-04-27 19:57:00
dog,2016-05-01 13:54:00
dog,2016-05-02 19:44:00
dog,2016-05-03 05:27:00
raccoon,2016-05-03 12:11:00
dog,2016-05-03 12:18:00
dog,2016-05-03 14:14:00
dog,2016-05-04 11:51:00
raccoon,2016-05-04 12:24:00
dog,2016-05-04 15:10:00
deer,2016-05-05 01:06:00
raccoon,2016-05-05 04:02:00
dog,2016-05-05 04:04:00
dog,2016-05-05 08:17:00
dog,2016-05-07 07:12:00
cat,2016-05-07 13:28:00
dog,2016-05-08 03:29:00
dog,2016-05-08 15:39:00
duck,2016-05-11 13:47:00
raccoon,2016-05-11 15:31:00
dog,2016-05-12 12:53:00
cat,2016-05-12 14:41:00
dog,2016-05-14 06:00:00
dog,2016-05-14 07:22:00
dog,2016-05-14 08:50:00
cat,2016-05-14 11:41:00
dog,2016-05-14 12:33:00
dog,2016-05-15 09:01:00
dog,2016-05-16 04:30:00
dog,2016-05-17 14:38:00
dog,2016-05-17 15:57:00
dog,2016-05-21 04:55:00
dog,2016-05-21 09:54:00
dog,2016-05-24 07:44:00
dog,2016-05-24 16:10:00
dog,2016-05-25 14:09:00
duck,2016-05-25 14:12:00
bird,2016-05-25 15:06:00
rabbit,2016-05-28 15:33:00
turkey,2016-05-29 12:34:00
goose,2016-05-30 10:12:00
dog,2016-06-01 17:39:00
dog,2016-06-01 17:52:00
bat,2016-06-01 19:38:00
dog,2016-06-02 18:13:00
bat,2016-06-02 19:31:00
dog,2016-06-03 04:43:00
squirrel,2016-06-04 07:36:00
dog,2016-06-04 17:24:00
dog,2016-06-04 19:07:00
rabbit,2016-06-05 08:35:00
goose,2016-06-05 09:35:00
bird,2016-06-05 12:36:00
bat,2016-06-05 19:47:00
squirrel,2016-06-08 17:47:00
cat,2016-06-08 21:12:00
squirrel,2016-06-10 10:52:00
dog,2016-06-10 16:01:00
bird,2016-06-16 13:44:00
dog,2016-06-16 14:24:00
cat,2016-06-16 14:34:00
dog,2016-06-17 17:31:00
bat,2016-06-18 03:17:00
beaver,2016-06-18 07:06:00
dog,2016-06-18 10:13:00
dog,2016-06-18 12:14:00
dog,2016-06-18 12:33:00
dog,2016-06-19 02:43:00
dog,2016-06-19 05:55:00
skunk,2016-06-20 03:19:00
bird,2016-06-20 15:44:00
dog,2016-06-21 01:44:00
turtle,2016-06-21 03:15:00
dog,2016-06-21 17:17:00
dog,2016-06-21 19:20:00
dog,2016-06-22 08:58:00
skunk,2016-06-22 12:13:00
dog,2016-06-23 13:45:00
skunk,2016-06-24 03:26:00
turkey,2016-06-24 13:19:00
dog,2016-06-26 08:04:36
bird,2016-06-27 11:45:00
dog,2016-06-27 12:36:00
bird,2016-06-29 09:15:00
dog,2016-06-30 02:45:00
cat,2016-07-01 10:13:00
bird,2016-07-01 10:28:00
dog,2016-07-01 23:27:00
bird,2016-07-02 15:38:00
skunk,2016-07-02 20:52:00
raccoon,2016-07-03 15:53:00
dog,2016-07-04 02:10:00
dog,2016-07-04 04:15:00
dog,2016-07-04 07:09:00
dog,2016-07-04 12:40:00
bird,2016-07-04 14:03:00
dog,2016-07-04 16:00:00
dog,2016-07-05 13:31:00
bird,2016-07-05 17:18:00
cat,2016-07-06 03:51:00
bird,2016-07-06 12:46:00
dog,2016-07-06 17:41:21
skunk,2016-07-07 03:21:00
bird,2016-07-07 13:47:00
dog,2016-07-08 07:05:00
dog,2016-07-08 14:24:00
dog,2016-07-09 11:44:00
dog,2016-07-10 06:28:00
cat,2016-07-10 06:43:00
dog,2016-07-10 06:46:00
duck,2016-07-10 09:42:00
turkey,2016-07-10 11:38:00
squirrel,2016-07-10 12:02:00
dog,2016-07-10 12:21:00
goose,2016-07-10 14:16:00
dog,2016-07-10 15:06:00
dog,2016-07-11 12:10:00
cat,2016-07-11 13:21:00
owl,2016-07-12 02:22:00
cat,2016-07-12 22:53:00
dog,2016-07-14 08:03:00
bird,2016-07-14 08:54:00
dog,2016-07-14 10:13:00
bird,2016-07-18 14:53:00
snake,2016-07-18 15:30:00
raccoon,2016-07-19 18:57:00
cat,2016-07-20 15:50:00
raccoon,2016-07-20 20:17:00
bird,2016-07-22 05:05:00
cat,2016-07-22 07:39:00
dog,2016-07-30 14:09:00
cat,2016-07-30 20:02:00
dog,2016-07-31 19:36:00
dog,2016-07-31 23:41:00
bird,2016-08-04 10:34:00
coyote,2016-08-05 08:16:32
dog,2016-08-08 09:34:00
dog,2016-08-08 09:57:00
dog,2016-08-09 13:34:00
duck,2016-08-09 13:52:00
dog,2016-08-09 14:53:00
raccoon,2016-08-09 18:20:00
bat,2016-08-09 19:41:00
bat,2016-08-12 01:07:00
pigeon,2016-08-12 12:37:00
squirrel,2016-08-12 15:39:00
raccoon,2016-08-12 15:41:00
dog,2016-08-13 07:42:00
bird,2016-08-13 08:05:00
dog,2016-08-13 08:33:00
bat,2016-08-13 18:32:00
raccoon,2016-08-13 21:58:00
dog,2016-08-18 04:04:00
duck,2016-08-18 04:05:00
dog,2016-08-18 06:07:00
bat,2016-08-18 16:36:00
skunk,2016-08-21 03:13:00
dog,2016-08-22 15:02:00
dog,2016-08-23 12:35:00
dog,2016-08-23 12:42:00
dog,2016-08-24 21:25:00
squirrel,2016-08-26 15:58:00
raccoon,2016-08-27 05:34:00
bird,2016-08-27 08:15:00
dog,2016-08-27 12:01:00
dog,2016-08-28 15:39:00
dog,2016-08-29 14:47:00
dog,2016-08-30 12:53:00
dog,2016-08-31 12:38:00
raccoon,2016-09-02 12:14:00
cat,2016-09-04 06:56:00
dog,2016-09-04 08:01:00
bird,2016-09-04 09:41:00
dog,2016-09-04 20:25:00
dog,2016-09-05 03:29:00
dog,2016-09-05 06:12:00
dog,2016-09-05 08:07:00
dog,2016-09-05 09:59:00
dog,2016-09-05 10:57:00
bird,2016-09-05 11:24:00
dog,2016-09-05 14:33:00
dog,2016-09-05 16:56:00
dog,2016-09-06 21:10:18
dog,2016-09-07 17:13:00
dog,2016-09-07 18:09:00
snake,2016-09-09 04:47:00
goose,2016-09-09 06:03:00
dog,2016-09-10 06:14:00
skunk,2016-09-10 07:12:00
dog,2016-09-10 13:09:00
dog,2016-09-10 15:16:00
bird,2016-09-11 04:42:00
dog,2016-09-11 06:03:00
dog,2016-09-11 07:29:00
dog,2016-09-11 09:29:00
raccoon,2016-09-11 12:22:00
dog,2016-09-11 13:02:00
rabbit,2016-09-12 05:22:00
dog,2016-09-12 13:07:00
dog,2016-09-13 12:40:00
squirrel,2016-09-13 12:51:08
gull,2016-09-13 13:56:00
dog,2016-09-15 14:10:00
cat,2016-09-16 05:38:00
dog,2016-09-16 14:11:00
dog,2016-09-16 15:36:00
opossum,2016-09-16 17:59:00
raccoon,2016-09-17 06:31:00
dog,2016-09-17 16:45:39
dog,2016-09-18 03:54:00
squirrel,2016-09-18 04:01:11
dog,2016-09-18 04:12:04
dog,2016-09-18 05:13:41
dog,2016-09-18 06:56:41
pigeon,2016-09-18 10:50:47
dog,2016-09-18 15:49:27
bird,2016-09-19 12:18:00
cat,2016-09-19 15:21:00
dog,2016-09-20 11:54:00
bird,2016-09-20 12:39:00
turkey,2016-09-20 12:50:00
raccoon,2016-09-20 18:01:00
raccoon,2016-09-21 03:33:00
bird,2016-09-21 13:23:00
bird,2016-09-23 10:33:00
dog,2016-09-23 10:35:00
dog,2016-09-23 13:43:00
dog,2016-09-23 17:36:00
dog,2016-09-24 03:15:00
dog,2016-09-24 12:11:00
raccoon,2016-09-25 09:15:00
fly,2016-09-25 09:19:00
cat,2016-09-25 15:26:00
squirrel,2016-09-27 13:18:00
dog,2016-09-28 03:31:00
cat,2016-09-28 09:05:07
dog,2016-09-28 10:56:00
dog,2016-09-28 12:16:00
dog,2016-09-28 14:35:00
cat,2016-09-29 03:55:00
goose,2016-09-29 09:49:00
dog,2016-09-29 13:33:00
dog,2016-09-29 15:23:00
dog,2016-09-29 17:36:00
bird,2016-09-30 05:14:00
dog,2016-09-30 05:42:00
dog,2016-09-30 05:52:00
dog,2016-09-30 06:06:00
chicken,2016-09-30 07:00:00
chicken,2016-09-30 07:24:00
dog,2016-09-30 10:27:00
cat,2016-09-30 12:41:00
skunk,2016-10-01 06:01:00
dog,2016-10-01 09:04:00
dog,2016-10-02 06:24:00
dog,2016-10-02 07:03:00
dog,2016-10-03 04:40:00
dog,2016-10-03 14:35:00
bat,2016-10-03 16:41:00
duck,2016-10-04 03:19:00
skunk,2016-10-04 06:02:00
dog,2016-10-04 15:19:00
bird,2016-10-05 03:18:00
dog,2016-10-05 03:42:00
cat,2016-10-05 13:35:00
dog,2016-10-05 15:11:00
bird,2016-10-06 03:16:00
bird,2016-10-06 03:21:00
bird,2016-10-06 03:55:00
coyote,2016-10-06 04:31:00
cat,2016-10-07 13:29:00
dog,2016-10-08 09:41:00
dog,2016-10-08 12:30:00
dog,2016-10-08 13:44:00
dog,2016-10-08 14:45:00
dog,2016-10-09 04:27:00
goose,2016-10-10 03:59:00
turkey,2016-10-10 07:47:00
dog,2016-10-10 08:59:00
bird,2016-10-10 10:54:00
bird,2016-10-10 12:06:00
bird,2016-10-11 15:29:00
bird,2016-10-11 19:10:00
rabbit,2016-10-12 02:43:00
cat,2016-10-12 03:20:00
dog,2016-10-12 08:43:00
bat,2016-10-13 14:08:00
dog,2016-10-13 18:33:00
dog,2016-10-13 19:47:00
raccoon,2016-10-14 11:44:00
raccoon,2016-10-14 13:11:00
dog,2016-10-14 15:12:00
dog,2016-10-14 15:52:00
dog,2016-10-14 16:59:00
dog,2016-10-15 11:41:00
cat,2016-10-15 14:38:00
dog,2016-10-16 14:34:00
possum,2016-10-17 03:52:00
raccoon,2016-10-17 12:02:00
raccoon,2016-10-17 12:18:00
raccoon,2016-10-17 13:25:00
possum,2016-10-17 17:15:00
bat,2016-10-18 16:45:00
turkey,2016-10-20 04:03:00
skunk,2016-10-20 04:47:00
dog,2016-10-20 17:38:00
bird,2016-10-22 06:29:00
dog,2016-10-22 09:30:00
dog,2016-10-22 09:48:00
cat,2016-10-22 12:10:00
cat,2016-10-22 12:59:00
cat,2016-10-22 13:37:00
squirrel,2016-10-22 16:25:00
dog,2016-10-23 10:02:00
dog,2016-10-24 08:27:00
dog,2016-10-24 12:22:00
bird,2016-10-24 14:03:00
dog,2016-10-25 12:49:00
dog,2016-10-26 12:11:00
dog,2016-10-27 14:37:00
dog,2016-10-27 23:10:00
dog,2016-10-28 12:51:00
dog,2016-10-29 16:32:00
cat,2016-10-30 08:01:00
cat,2016-10-30 12:05:00
bird,2016-10-31 12:00:00
dog,2016-10-31 18:13:00
dog,2016-10-31 21:38:00
dog,2016-11-01 09:57:00
dog,2016-11-03 12:30:00
dog,2016-11-04 04:47:00
dog,2016-11-04 18:10:00
ferret,2016-11-05 09:36:00
raccoon,2016-11-06 07:28:00
dog,2016-11-06 08:47:00
dog,2016-11-06 09:41:00
bird,2016-11-07 11:16:00
dog,2016-11-07 13:17:52
rabbit,2016-11-08 11:25:00
bird,2016-11-09 02:42:00
bird,2016-11-09 03:58:00
dog,2016-11-11 10:39:00
dog,2016-11-11 14:22:00
dog,2016-11-12 08:35:00
dog,2016-11-12 15:57:00
bird,2016-11-13 03:52:00
dog,2016-11-14 12:13:00
dog,2016-11-14 12:25:00
cat,2016-11-16 09:04:00
cat,2016-11-16 10:57:00
skunk,2016-11-17 02:58:00
dog,2016-11-18 10:22:00
cat,2016-11-18 11:17:14
pigeon,2016-11-21 10:56:00
rabbit,2016-11-21 12:27:00
dog,2016-11-21 13:23:00
dog,2016-11-21 14:37:00
dog,2016-11-21 17:42:00
dog,2016-11-23 16:39:00
dog,2016-11-23 19:42:00
dragon,2016-11-26 07:28:00
dog,2016-11-26 11:26:00
raccoon,2016-11-26 11:36:00
squirrel,2016-12-01 12:52:00
dog,2016-12-02 12:02:00
dog,2016-12-02 19:51:00
dog,2016-12-03 04:24:00
dog,2016-12-09 13:02:00
dog,2016-12-09 13:22:00
dog,2016-12-09 14:19:00
skunk,2016-12-10 05:11:00
hawk,2016-12-10 06:11:00
dog,2016-12-10 06:23:00
raccoon,2016-12-10 09:27:00
cat,2016-12-11 06:17:00
cat,2016-12-11 08:37:00
dog,2016-12-11 09:37:00
dog,2016-12-12 14:30:00
dog,2016-12-12 19:02:00
cat,2016-12-13 12:26:00
dog,2016-12-13 16:10:00
dog,2016-12-13 20:09:00
squirrel,2016-12-18 09:15:00
dog,2016-12-19 11:29:00
dog,2016-12-20 04:10:00
hawk,2016-12-20 10:58:00
dog,2016-12-24 16:09:00
squirrel,2016-12-26 09:21:00
dog,2017-01-01 08:51:00
goose,2017-01-01 10:56:00
bat,2017-01-01 13:51:00
dog,2017-01-02 16:18:00
dog,2017-01-05 22:00:00
dog,2017-01-06 18:05:00
dog,2017-01-10 15:09:00
dog,2017-01-11 11:17:00
opossum,2017-01-12 04:25:00
dog,2017-01-14 05:00:00
cat,2017-01-14 05:41:00
raccoon,2017-01-14 09:19:00
hawk,2017-01-14 10:25:00
dog,2017-01-14 11:06:00
dog,2017-01-15 08:03:00
dog,2017-01-15 12:39:04
bird,2017-01-16 09:41:00
raccoon,2017-01-16 10:35:00
dog,2017-01-17 17:58:00
dog,2017-01-18 11:12:00
dog,2017-01-18 11:13:00
dog,2017-01-18 11:59:00
dog,2017-01-18 23:18:00
raccoon,2017-01-19 02:01:00
raccoon,2017-01-19 15:46:00
dog,2017-01-20 16:50:00
dog,2017-01-21 10:53:00
rabbit,2017-01-21 11:25:00
dog,2017-01-22 03:28:00
raccoon,2017-01-22 04:44:00
bat,2017-01-22 06:50:00
dog,2017-01-22 12:09:00
bat,2017-01-22 13:05:00
dog,2017-01-22 13:27:00
dog,2017-01-22 15:19:00
dog,2017-01-22 17:57:00
cat,2017-01-24 11:47:00
dog,2017-01-25 13:31:00
dog,2017-01-27 12:49:00
dog,2017-01-28 03:06:00
dog,2017-01-28 03:30:22
skunk,2017-01-28 05:56:00
goose,2017-01-28 09:01:00
hawk,2017-01-28 10:46:00
dog,2017-01-28 11:49:00
raccoon,2017-01-28 14:17:00
skunk,2017-01-29 04:39:00
cat,2017-01-29 08:57:00
swan,2017-01-30 11:15:00
skunk,2017-01-30 11:51:00
dog,2017-01-31 11:44:00
dog,2017-01-31 11:53:00
bird,2017-01-31 12:24:00
raccoon,2017-01-31 17:43:00
squirrel,2017-02-01 12:48:00
cat,2017-02-01 13:39:00
raccoon,2017-02-03 18:42:00
opossum,2017-02-04 14:40:00
dog,2017-02-05 04:17:00
skunk,2017-02-05 07:05:00
skunk,2017-02-05 07:34:00
dog,2017-02-05 07:39:00
dog,2017-02-08 15:12:00
dog,2017-02-08 16:00:00
dog,2017-02-09 07:40:00
bird,2017-02-10 11:24:00
squirrel,2017-02-11 07:14:00
bird,2017-02-11 09:56:00
dog,2017-02-11 14:43:00
raccoon,2017-02-15 13:10:00
dog,2017-02-16 20:09:00
dog,2017-02-17 13:50:00
bat,2017-02-17 14:01:00
dog,2017-02-17 20:16:00
cat,2017-02-18 09:09:00
skunk,2017-02-19 07:28:00
skunk,2017-02-19 09:00:00
dog,2017-02-22 02:29:00
dog,2017-02-22 05:24:00
skunk,2017-02-22 06:34:00
bat,2017-02-22 15:43:00
raccoon,2017-02-24 09:10:00
skunk,2017-02-25 05:17:00
bird,2017-02-25 06:02:00
dog,2017-02-25 06:35:00
bat,2017-02-25 07:31:00
dog,2017-02-25 12:46:00
raccoon,2017-02-26 03:14:00
dog,2017-02-26 06:21:00
dog,2017-02-26 11:22:00
raccoon,2017-02-26 14:21:00
bird,2017-02-28 03:31:00
cat,2017-03-02 00:17:00
raccoon,2017-03-02 11:41:00
dog,2017-03-02 12:57:00
dog,2017-03-03 12:11:00
raccoon,2017-03-03 12:29:00
raccoon,2017-03-03 13:44:00
skunk,2017-03-04 03:59:00
skunk,2017-03-04 11:28:00
dog,2017-03-05 03:17:00
raccoon,2017-03-05 14:41:00
dog,2017-03-06 13:44:00
bird,2017-03-07 11:39:00
dog,2017-03-08 12:59:00
dog,2017-03-09 12:26:00
dog,2017-03-09 12:34:00
cat,2017-03-09 12:40:00
dog,2017-03-09 16:52:00
raccoon,2017-03-10 03:01:00
dog,2017-03-10 14:07:00
raccoon,2017-03-11 16:28:00
dog,2017-03-12 06:22:00
dog,2017-03-12 09:47:00
skunk,2017-03-12 10:00:00
raccoon,2017-03-14 10:01:00
hawk,2017-03-16 12:44:00
skunk,2017-03-17 03:09:00
cat,2017-03-17 15:48:00
dog,2017-03-18 07:00:00
dog,2017-03-18 14:21:00
dog,2017-03-19 04:02:00
bird,2017-03-19 04:54:00
fly,2017-03-19 05:52:00
skunk,2017-03-19 08:16:00
cat,2017-03-19 10:01:00
raccoon,2017-03-19 12:49:00
bird,2017-03-20 13:02:00
duck,2017-03-21 15:09:00
skunk,2017-03-22 09:28:00
hawk,2017-03-22 14:06:00
dog,2017-03-22 21:42:00
skunk,2017-03-23 03:38:00
bird,2017-03-23 14:37:00
dog,2017-03-23 15:46:00
dog,2017-03-24 03:10:00
cat,2017-03-24 09:25:00
dog,2017-03-24 10:07:00
dog,2017-03-24 12:16:00
rabbit,2017-03-24 16:48:00
dog,2017-03-24 17:23:00
dove,2017-03-25 11:24:00
swan,2017-03-26 05:10:00
skunk,2017-03-26 06:31:00
dog,2017-03-26 08:55:04
dog,2017-03-26 15:39:00
dog,2017-03-27 15:09:00
raccoon,2017-03-28 04:11:00
cat,2017-03-29 12:41:00
goose,2017-03-29 14:53:00
raccoon,2017-03-29 15:32:00
cat,2017-04-01 10:28:00
opossum,2017-04-02 06:23:00
goose,2017-04-04 13:04:00
goose,2017-04-04 13:30:00
goose,2017-04-04 13:53:00
dog,2017-04-05 18:51:21
opossum,2017-04-06 04:49:00
cat,2017-04-06 12:47:00
dog,2017-04-06 12:58:00
dog,2017-04-06 14:27:00
bat,2017-04-07 17:14:00
bird,2017-04-08 05:04:00
dog,2017-04-08 05:58:00
dog,2017-04-08 10:05:00
skunk,2017-04-09 05:09:00
bird,2017-04-09 06:46:00
dog,2017-04-09 11:55:00
dog,2017-04-09 11:55:00
dog,2017-04-09 12:13:00
dog,2017-04-09 14:12:00
dog,2017-04-09 17:09:00
dog,2017-04-09 19:04:00
dog,2017-04-10 09:17:00
raccoon,2017-04-10 13:08:00
cat,2017-04-10 18:14:00
dog,2017-04-11 03:43:00
raccoon,2017-04-12 03:32:00
dog,2017-04-14 14:08:00
dog,2017-04-14 17:41:00
dog,2017-04-16 04:56:00
dog,2017-04-16 05:54:00
dog,2017-04-16 09:00:00
dog,2017-04-16 09:10:00
dog,2017-04-16 14:58:01
cat,2017-04-16 16:04:00
skunk,2017-04-17 08:11:00
dog,2017-04-19 04:21:00
raccoon,2017-04-19 12:09:00
dog,2017-04-19 17:17:00
dog,2017-04-19 20:53:00
opossum,2017-04-20 05:47:00
bat,2017-04-20 15:03:00
bat,2017-04-20 16:24:00
rabbit,2017-04-22 04:32:00
skunk,2017-04-22 04:36:00
dog,2017-04-22 11:45:00
cat,2017-04-23 06:09:00
hawk,2017-04-24 12:59:00
goose,2017-04-24 13:54:00
goose,2017-04-24 14:51:00
dog,2017-04-24 17:17:00
dog,2017-04-26 12:28:00
dog,2017-04-26 18:31:00
duck,2017-04-28 14:43:00
cat,2017-04-29 07:36:00
dog,2017-04-29 08:58:00
cat,2017-04-29 12:37:00
dog,2017-04-29 18:51:00
dog,2017-04-30 04:53:00
rabbit,2017-04-30 14:58:00
dog,2017-04-30 16:10:00
dog,2017-04-30 16:51:00
dog,2017-04-30 17:10:00
dog,2017-05-01 06:47:00
coyote,2017-05-01 09:37:00
dog,2017-05-01 15:24:00
rabbit,2017-05-02 13:27:00
dog,2017-05-03 12:07:00
dog,2017-05-03 12:15:00
dog,2017-05-03 12:33:00
dog,2017-05-03 13:57:00
goose,2017-05-03 15:53:00
raccoon,2017-05-05 08:06:00
dog,2017-05-05 16:43:00
cat,2017-05-06 06:23:00
skunk,2017-05-06 08:49:00
dog,2017-05-06 11:51:00
dog,2017-05-08 13:33:00
goose,2017-05-10 12:16:00
squirrel,2017-05-10 13:50:00
squirrel,2017-05-10 14:15:00
bird,2017-05-10 14:50:00
bird,2017-05-10 15:26:00
dog,2017-05-10 16:48:00
dog,2017-05-13 03:38:00
raccoon,2017-05-14 08:02:00
dog,2017-05-14 08:34:00
bird,2017-05-15 12:28:00
