Animal,open_dt
dog,2013-12-08 05:57:22
dog,2014-05-31 13:32:38
dog,2014-07-11 17:02:15
dog,2014-08-12 12:37:14
dog,2014-08-16 04:20:20
dog,2014-08-17 06:16:28
dog,2014-08-24 08:47:00
dog,2014-10-16 14:02:54
dog,2014-11-15 09:36:00
squirrel,2014-11-30 05:58:49
cat,2015-01-11 09:09:51
cat,2015-01-16 06:43:05
dog,2015-01-17 09:45:38
dog,2015-01-27 12:52:23
cat,2015-02-06 13:59:30
cat,2015-02-12 12:29:12
dog,2015-02-17 15:35:56
dog,2015-02-18 02:13:16
dog,2015-02-28 08:30:32
dog,2015-03-01 07:05:33
dog,2015-03-27 15:39:41
dog,2015-04-13 16:02:40
dog,2015-05-10 18:01:00
bird,2015-05-22 11:22:00
dog,2015-05-25 13:58:00
bat,2015-05-26 17:11:00
dog,2015-05-31 06:36:00
dog,2015-06-14 15:28:00
dog,2015-07-04 15:19:00
raccoon,2015-07-20 09:42:44
bird,2015-07-25 07:40:00
cat,2015-08-05 14:56:21
cat,2015-09-06 02:33:00
cat,2015-09-25 14:52:27
rat,2015-10-05 03:43:15
dog,2015-10-18 08:16:18
dog,2015-10-23 18:34:00
cat,2015-11-02 13:37:00
dog,2015-11-18 14:30:00
dog,2015-11-19 22:16:00
dog,2015-11-29 14:08:00
dog,2015-12-01 18:04:00
dog,2015-12-01 18:10:00
dog,2015-12-02 03:02:00
dog,2015-12-02 08:51:00
dog,2015-12-02 08:52:00
dog,2015-12-02 22:00:00
cat,2015-12-04 05:58:00
cat,2015-12-04 11:30:00
dog,2015-12-04 14:44:00
dog,2015-12-05 04:22:00
dog,2015-12-05 10:00:00
raccoon,2015-12-05 15:18:00
dog,2015-12-06 05:25:00
dog,2015-12-06 15:53:00
bird,2015-12-07 05:18:00
dog,2015-12-07 05:20:00
dog,2015-12-07 12:50:00
dog,2015-12-08 13:33:00
deer,2015-12-08 14:44:00
dog,2015-12-09 13:25:00
possum,2015-12-11 05:06:00
dog,2015-12-11 11:20:00
dog,2015-12-11 13:27:00
cat,2015-12-11 14:40:00
cat,2015-12-11 14:52:00
bird,2015-12-11 21:01:00
dog,2015-12-12 10:48:00
cat,2015-12-13 04:08:00
cat,2015-12-13 07:38:00
dog,2015-12-13 13:46:00
dog,2015-12-14 14:29:00
rabbit,2015-12-19 06:16:00
dog,2015-12-20 04:14:00
dog,2015-12-22 18:18:00
dog,2015-12-25 13:21:00
dog,2015-12-26 05:46:00
dog,2015-12-26 06:53:00
dog,2015-12-26 07:44:00
dog,2015-12-26 07:50:00
dog,2015-12-26 08:23:00
dog,2015-12-26 14:42:00
cat,2015-12-27 05:21:00
dog,2015-12-28 11:34:00
dog,2015-12-28 12:28:00
bat,2015-12-28 14:59:00
cat,2015-12-28 15:11:00
dog,2015-12-30 11:04:00
dog,2016-01-01 08:09:00
cat,2016-01-02 04:54:00
dog,2016-01-02 06:45:00
raccoon,2016-01-02 11:41:00
dog,2016-01-02 16:09:00
dog,2016-01-06 13:26:00
cat,2016-01-08 11:27:00
cat,2016-01-08 12:53:00
raccoon,2016-01-09 10:06:00
dog,2016-01-09 11:04:00
dog,2016-01-10 03:38:00
bat,2016-01-10 03:45:00
dog,2016-01-10 04:35:00
dog,2016-01-10 09:41:00
dog,2016-01-10 15:00:00
dog,2016-01-11 09:05:00
bat,2016-01-12 15:17:00
squirrel,2016-01-15 11:41:00
dog,2016-01-16 04:00:00
dog,2016-01-16 06:59:00
dog,2016-01-16 11:31:00
dog,2016-01-17 07:26:00
bat,2016-01-17 07:36:00
dog,2016-01-17 07:52:00
fly,2016-01-17 10:04:00
dog,2016-01-18 10:26:00
dog,2016-01-19 13:35:00
dog,2016-01-20 11:57:00
dog,2016-01-22 15:57:00
dog,2016-01-23 10:30:00
squirrel,2016-01-23 11:45:00
dog,2016-01-23 17:58:00
dog,2016-01-23 18:26:00
dog,2016-01-24 11:37:00
dog,2016-01-24 16:03:00
dog,2016-01-26 15:02:00
cat,2016-01-27 17:34:00
cat,2016-01-30 09:22:00
bird,2016-01-31 04:46:00
dog,2016-01-31 10:17:00
skunk,2016-02-01 02:42:00
dog,2016-02-02 11:31:00
dog,2016-02-03 11:25:00
dog,2016-02-04 15:39:00
dog,2016-02-05 03:09:00
raccoon,2016-02-05 12:05:00
dog,2016-02-06 02:02:00
dog,2016-02-06 07:50:00
raccoon,2016-02-06 08:45:00
dog,2016-02-07 05:02:00
hawk,2016-02-08 10:25:00
dog,2016-02-09 11:49:00
dog,2016-02-09 16:25:00
dog,2016-02-10 11:44:00
chicken,2016-02-10 12:18:00
cat,2016-02-10 12:18:00
cat,2016-02-11 02:14:00
raccoon,2016-02-11 11:38:00
dog,2016-02-12 19:52:00
dog,2016-02-13 04:13:00
cat,2016-02-13 09:38:00
dog,2016-02-13 10:59:00
dog,2016-02-13 13:02:00
dog,2016-02-14 16:43:00
dog,2016-02-15 04:29:00
raccoon,2016-02-15 06:16:00
bat,2016-02-17 02:50:00
dog,2016-02-18 08:36:00
dog,2016-02-18 11:35:00
bat,2016-02-18 15:41:00
skunk,2016-02-19 21:04:00
cat,2016-02-20 05:19:00
dog,2016-02-20 06:07:00
squirrel,2016-02-20 12:42:00
dog,2016-02-21 03:15:00
squirrel,2016-02-21 13:14:00
dog,2016-02-21 17:32:00
skunk,2016-02-22 02:10:00
bird,2016-02-22 02:14:00
raccoon,2016-02-22 02:25:00
skunk,2016-02-22 11:17:00
cat,2016-02-24 14:09:00
dog,2016-02-25 12:26:00
cat,2016-02-26 08:18:00
dog,2016-02-26 13:18:00
dog,2016-02-28 14:01:00
cat,2016-02-29 13:39:00
dog,2016-02-29 14:19:00
deer,2016-02-29 20:31:00
dog,2016-03-01 11:38:00
fly,2016-03-01 14:29:00
fly,2016-03-01 15:51:00
dog,2016-03-02 04:48:00
dog,2016-03-06 07:25:00
dog,2016-03-06 10:32:00
dog,2016-03-07 07:59:00
bird,2016-03-07 10:13:00
cat,2016-03-08 03:33:00
dog,2016-03-08 09:56:00
dog,2016-03-08 12:49:00
bird,2016-03-08 12:59:00
goose,2016-03-09 20:36:00
raccoon,2016-03-12 04:53:00
dog,2016-03-12 06:26:00
dog,2016-03-12 08:02:00
cat,2016-03-13 04:50:00
