year,location_zipcode,animal,count
2011,02113, cat ,1
2011,02116, squirrel ,1
2011,02118, bird ,1
2011,02119, cat ,2
2011,02119, dog ,1
2011,02119, skunk ,2
2011,02120, cat ,1
2011,02121, cat ,3
2011,02121, dog ,1
2011,02122, bird ,2
2011,02122, cat ,1
2011,02122, skunk ,3
2011,02124, cat ,7
2011,02124, squirrel ,1
2011,02125, cat ,2
2011,02125, skunk ,1
2011,02126, cat ,1
2011,02126, raccoon ,1
2011,02126, skunk ,2
2011,02127, cat ,1
2011,02127, dog ,1
2011,02128, cat ,3
2011,02128, skunk ,4
2011,02130, bird ,1
2011,02130, cat ,2
2011,02130, dog ,1
2011,02130, opossum ,1
2011,02130, possum ,1
2011,02130, skunk ,1
2011,02130, squirrel ,5
2011,02131, cat ,2
2011,02131, raccoon ,1
2011,02131, squirrel ,1
2011,02132, possum ,2
2011,02132, squirrel ,2
2011,02134, dog ,1
2011,02135, bird ,1
2011,02136, dog ,1
2012,02118, bird ,1
2012,02118, cat ,3
2012,02119, bird ,1
2012,02119, cat ,3
2012,02119, dog ,1
2012,02119, raccoon ,2
2012,02119, skunk ,2
2012,02120, dog ,2
2012,02120, possum ,1
2012,02120, raccoon ,1
2012,02121, cat ,10
2012,02121, dog ,1
2012,02121, skunk ,1
2012,02121, squirrel ,1
2012,02122, bird ,2
2012,02122, cat ,3
2012,02122, dog ,1
2012,02122, possum ,1
2012,02124, cat ,7
2012,02124, dog ,2
2012,02124, possum ,1
2012,02124, rabbit ,1
2012,02124, skunk ,4
2012,02125, cat ,3
2012,02125, dog ,1
2012,02125, possum ,1
2012,02126, cat ,9
2012,02126, dog ,3
2012,02126, goose ,1
2012,02126, possum ,1
2012,02126, squirrel ,1
2012,02127, bird ,2
2012,02127, cat ,1
2012,02127, pigeon ,1
2012,02127, skunk ,2
2012,02127, squirrel ,2
2012,02128, bird ,3
2012,02128, cat ,5
2012,02128, dog ,3
2012,02128, possum ,2
2012,02128, skunk ,11
2012,02128, squirrel ,2
2012,02129, bird ,1
2012,02129, dog ,2
2012,02129, squirrel ,1
2012,02130, bird ,1
2012,02130, cat ,3
2012,02130, dog ,1
2012,02130, skunk ,1
2012,02130, squirrel ,1
2012,02131, cat ,1
2012,02131, possum ,1
2012,02131, raccoon ,1
2012,02131, skunk ,1
2012,02132, cat ,1
2012,02132, deer ,1
2012,02132, rabbit ,1
2012,02132, skunk ,1
2012,02132, squirrel ,4
2012,02134, bird ,1
2012,02134, cat ,2
2012,02134, dog ,1
2012,02135, bird ,2
2012,02135, cat ,5
2012,02135, raccoon ,1
2012,02135, skunk ,1
2012,02135, squirrel ,1
2012,02136, cat ,3
2012,02136, possum ,1
2012,02136, raccoon ,1
2012,02136, squirrel ,1
2012,02210, bird ,3
2013,02108, bird ,1
2013,02114, cat ,1
2013,02115, goose ,1
2013,02118, bird ,1
2013,02119, cat ,3
2013,02119, dog ,1
2013,02119, possum ,1
2013,02120, cat ,2
2013,02120, dog ,1
2013,02120, skunk ,1
2013,02121, cat ,5
2013,02122, cat ,1
2013,02124, bird ,1
2013,02124, cat ,6
2013,02124, skunk ,1
2013,02125, cat ,4
2013,02125, dog ,1
2013,02125, possum ,1
2013,02126, cat ,3
2013,02126, dog ,1
2013,02127, cat ,3
2013,02128, bird ,1
2013,02128, cat ,4
2013,02128, skunk ,2
2013,02129, squirrel ,1
2013,02130, cat ,2
2013,02130, raccoon ,1
2013,02131, bird ,2
2013,02131, cat ,3
2013,02131, raccoon ,4
2013,02132, cat ,1
2013,02132, fox ,1
2013,02132, possum ,1
2013,02134, cat ,3
2013,02134, rabbit ,1
2013,02135, bird ,1
2013,02135, cat ,2
2013,02135, goose ,1
2013,02136, bird ,1
2013,02136, cat ,3
2013,02136, possum ,1
2013,02215, goose ,1
2014,02108, bird ,1
2014,02114, bird ,1
2014,02116, sparrow ,1
2014,02118, bird ,2
2014,02118, cat ,3
2014,02119, bird ,3
