Animal,latitude,longitude,open_dt
dog,42.35636964206394,-71.15193066142776,2019-01-04 10:58:00
dog,42.37748948381783,-71.03099034259638,2019-01-05 05:34:00
dog,42.35036962143851,-71.13537063756661,2019-01-05 15:14:00
dog,42.28870867329384,-71.07839968871893,2019-01-07 13:05:00
dog,42.27749377548169,-71.12080726251122,2019-01-08 12:27:00
dog,42.27723960957408,-71.11726076050599,2019-01-08 13:35:00
dog,42.33285950449383,-71.04489047369646,2019-01-08 16:47:00
dog,42.283759575609736,-71.09418069382197,2019-01-10 02:06:00
dog,42.29302953934359,-71.06855061570566,2019-01-10 16:13:00
dog,42.28648703427525,-71.06388035137601,2019-01-10 18:32:00
dog,42.29796989465436,-71.0592601792182,2019-01-13 03:59:00
dog,42.328999548828726,-71.07808055682075,2019-01-15 08:21:00
dog,42.31701885978502,-71.10490067435519,2019-01-15 08:35:00
dog,42.32115959185312,-71.10968064547453,2019-01-15 08:53:00
dog,42.321429585632885,-71.10453063330606,2019-01-18 09:12:00
dog,42.29660953203945,-71.06333059619476,2019-01-19 10:56:00
dog,42.28575180860248,-71.06430909113477,2019-01-22 14:01:00
dog,42.30489953932279,-71.06921059038876,2019-01-24 15:04:00
dog,42.33661954477954,-71.07562053426584,2019-01-24 17:13:00
dog,42.2777896701489,-71.16097085831814,2019-01-26 05:27:00
dog,42.312180541567294,-71.07121757853471,2019-01-27 11:53:00
dog,42.32276215076271,-71.11104301607821,2019-01-27 12:21:00
dog,42.27127956374984,-71.08449070014699,2019-01-29 10:36:00
dog,42.27250965024282,-71.14584083645858,2019-01-30 16:31:00
dog,42.337709557207,-71.0851405533989,2019-02-05 19:40:00
dog,42.24815062271021,-71.1171318234934,2019-02-08 02:10:00
dog,42.312459550331816,-71.07815059384895,2019-02-08 02:56:00
dog,42.29333961431292,-71.12298073750095,2019-02-08 13:27:00
dog,42.29136471881281,-71.07435112013486,2019-02-09 08:02:00
dog,42.32318953738262,-71.069350550021,2019-02-10 12:43:00
dog,42.29252106186828,-71.04873044651262,2019-02-10 14:42:00
dog,42.29252106186828,-71.04873044651262,2019-02-10 14:45:00
dog,42.28518959710744,-71.10953072596268,2019-02-11 17:01:00
dog,42.31130951707284,-71.05346054092355,2019-02-12 02:21:00
dog,42.345789538723885,-71.07171050499768,2019-02-16 11:34:00
dog,42.290469548206616,-71.07477063544677,2019-02-19 12:38:00
dog,42.29359960665075,-71.11726072385247,2019-02-19 15:14:00
dog,42.28834965758414,-71.15337081784982,2019-03-16 13:22:00
dog,42.366197490157695,-71.0354113782065,2019-03-16 14:12:00
dog,42.28857265690692,-71.152637815182,2019-04-26 14:00:00
dog,42.29023962612384,-71.13106076280931,2019-04-27 02:43:40
dog,42.28636967886733,-71.16803085484769,2019-05-07 12:20:00
dog,42.295686753912655,-71.08538789466648,2019-05-14 05:02:00
dog,42.381729531550434,-71.06856041798753,2019-05-22 16:17:00
dog,42.32369955054798,-71.07913057106177,2019-06-20 14:19:00
dog,42.26419961411328,-71.11928079476937,2019-06-24 16:00:00
dog,42.31052959632007,-71.11174067354717,2019-06-29 17:09:00
dog,42.24161968397355,-71.13750087454993,2019-06-30 08:19:00
dog,42.28895953949494,-71.06831062383468,2019-07-02 13:45:00
dog,42.36104862780503,-71.1416406278304,2019-07-24 15:03:47
dog,42.36625349024487,-71.03556537822004,2019-07-30 15:17:00
dog,42.35350961086371,-71.12773061372714,2019-08-07 16:43:00
dog,42.31683958807996,-71.10605064692147,2019-08-11 15:38:00
dog,42.27777964522532,-71.14291081785098,2019-08-19 08:35:00
dog,42.31661959198913,-71.10910065457915,2019-09-07 15:53:00
dog,42.3577091907604,-71.0632003161487,2019-10-05 12:38:00
dog,42.384104424678334,-71.07738169037631,2019-10-06 07:06:00
dog,42.381149526737474,-71.06524041168753,2019-11-09 05:39:37
dog,42.30491960407871,-71.11651069730216,2019-11-27 10:59:00
dog,42.27442955062511,-71.07513067218787,2019-12-23 16:07:00
dog,42.30485953403922,-71.06538058246716,2019-12-25 07:57:00
dog,42.289699501231865,-71.04085056069509,2019-12-26 13:57:00
