Animal,closure_reason,reason,location,neighborhood,neighborhood_services_district,ward,precinct,location_street_name,location_zipcode,latitude,longitude
dog,Case Closed Case Resolved Owner picked the dog up ,Animal Issues,756 Huntington Ave  Mission Hill  MA  02120,Mission Hill,14,Ward 10,1003,756 Huntington Ave,2120.0,42.33345958531015,-71.10579060883586
dog,Case Closed Case Resolved Constituent called at 6:33pm 5/31 to report dog was found ,Animal Issues,591 Saratoga St  East Boston  MA  02128,East Boston,1,Ward 1,0110,591 Saratoga St,2128.0,42.38139947392797,-71.0230203164634
dog,Case Closed Case Resolved owner returned to claim dog ,Animal Issues,1100 Massachusetts Ave  Dorchester  MA  02125,Dorchester,5,07,0708,1100 Massachusetts Ave,2125.0,42.32644925542976,-71.06549421323362
dog,Case Closed Case Invalid condo neighbors dispute about dog using the yard ,Animal Issues,10 Saco St  Dorchester  MA  02122,Dorchester,7,Ward 16,1602,10 Saco St,2122.0,42.29715952123137,-71.05540057667338
dog,Case Closed Case Invalid some one can in to get the dog ,Animal Issues,58 Adams St  Roxbury  MA  02119,Roxbury,13,Ward 8,0807,58 Adams St,2119.0,42.32805254731587,-71.0769025562562
dog,Case Closed Case Resolved dog found ,Animal Issues,59 Gretter Rd  Roslindale  MA  02132,West Roxbury,12,Ward 20,2006,59 Gretter Rd,2132.0,42.29445964000348,-71.14143077720317
dog,Case Closed Case Resolved dog found ,Animal Issues,98-100 Granite Ave  Dorchester  MA  02124,Dorchester,7,Ward 16,1612,98-100 Granite Ave,2124.0,42.28005361857823,-71.05435555060214
dog,Case Closed Case Resolved dog was picked up by Animal Control Officer. ,Animal Issues,19 Downer Ave  Dorchester  MA  02125,Dorchester,7,Ward 13,1309,19 Downer Ave,2125.0,42.31147952710701,-71.0604905560971
dog,Case Closed Case Resolved Caller found the dog ,Animal Issues,5 Linda Ln  Dorchester  MA  02125,Dorchester,7,Ward 13,1310,5 Linda Ln,2125.0,42.31211363931265,-71.05116967106736
squirrel,Case Closed Case Resolved Callers took squirrel to MSPCA ,Animal Issues,14 Gartland St  Jamaica Plain  MA  02130,Jamaica Plain,11,Ward 11,1107,14 Gartland St,2130.0,42.30654958948452,-71.1063106708372
cat,Case Closed Case Invalid cat not injured  but dead ,Animal Issues,1099 River St  Hyde Park  MA  02136,Hyde Park,10,Ward 18,1813,1099 River St,2136.0,42.25800961452049,-71.11906080789365
cat,Case Closed Case Resolved case closed  cat impounded ,Animal Issues,INTERSECTION of Commonwealth Ave & Dartmouth St  Boston  MA  ,Back Bay,14,Ward 5,0507,INTERSECTION Commonwealth Ave & Dartmouth St,,42.35170040060642,-71.07813912871521
dog,Case Closed Case Resolved Owner found dog ,Animal Issues,INTERSECTION of Commonwealth Ave & Lake St  Brighton  MA  ,Allston / Brighton,15,Ward 22,2208,INTERSECTION Commonwealth Ave & Lake St,,42.340090671216,-71.16614573868898
dog,Case Closed Case Noted Case closed. ARL found dog and returned to owner ,Animal Issues,INTERSECTION of Dexter St & Ellery St  South Boston  MA  ,South Boston / South Boston Waterfront,5,Ward 7,0706,INTERSECTION Dexter St & Ellery St,,42.33032600074016,-71.05825686163993
cat,Case Closed Case Noted Hi   Today at noon  Officer Scanlon visited the property  found complete access to inside  did a search and no cat was on the premises.  From ACC end  the case of searching the property is closed.  ACC staff will contact woman to gain a detailed description of the cat to file with our lost reports.  ,Animal Issues,32 Deckard St  Dorchester  MA  02121,Roxbury,13,Ward 12,1202,32 Deckard St,2121.0,42.31562955951191,-71.08495060215772
cat,Case Closed Case Resolved case closed  cat impounded safely with kittens.  ,Animal Issues,6 Cawfield St  Dorchester  MA  02125,Dorchester,13,Ward 7,0710,6 Cawfield St,2125.0,42.31978953059547,-71.06386054540049
